comment,keyword,season,sentiment_association,topic_category
Joey一如即往是我最爱。Monica毁了很多段很美好的爱情了，真不知道是自己的问题吗。Phoebe老妈一出来鬼畜一下我就猜到是亲妈了。Bing太瘦了比bin还瘦，注意身体啊。还是很喜欢Ross和Rachel这对的，但是看大家的不友善评价，猜想可能不能走到最后，希望不被剧透，保持一点甜度也好的。,phoebe,3,positive,剧情
经典无需多说。,经典,3,positive,情怀
这个是一定可以重复看的片子.,片子,3,positive,剧情
这季太虐心了，我们都再也回不去了。,虐心,3,negative,剧情
菲比的弟弟登场了。Rachel换工作，和Ross第一次分手，Ross是个烂人，不配得Rach这么好的女孩！Monica的富翁男友，恋情来得太突然无法理喻。Joey还是最可爱的，当你遇到一个异性你可以通宵聊天说不完的话，珍惜吧。Btw，Chan在这一季里很瘦很娘。,monica,3,negative,剧情
"2012.8.17这季很出彩啊~~
2022.8.27Rachel跟讲Ross分手的时候，演的真的太好了，那种与人告别同时又自我成长与过去的自己开始告别的感觉，痛苦且深刻。女孩子说分手可能是气话，但大直男真的觉得是分手了，Ross已经比很多男生都不渣了依然妙睡new girl。所以人真是必须要靠经历才能成长的吗？",深刻,3,positive,剧情
很难想象90年的剧在妆造、价值观、精神状态上放到当下毫不过时，这何尝不是一种科幻片（厌烦弹幕里的道德警察，他们只适合看样板戏,想象,3,positive,剧情
钱得笑起来好阳光帅气啊！！！,阳光,3,positive,演员
一口气看完了这一季，实在是太讨厌罗斯处理事情的方式和态度了，自己做错事了没有道歉和愧疚的意识，而是去指责别人的不是，并且除了前妻以外，每段关系都处理得很糟糕，几乎都是三人行，重点是还认为自己很深情……罗斯和瑞秋这一对太狗血了，瑞秋找到自己想做的事情以后，越发独立、自信和有气质，而这一点是罗斯没法接受的，也是他们矛盾爆发的根源，罗斯需要的是一个“只是服务员的瑞秋”，而非真心希望她变得更强大、更好，因为这样他就不再是被关注的对象了，男性自尊受损。这也是普遍两性关系的矛盾所在，从这个角度出发，编剧写得蛮好的。莫妮卡和理查德的感情挺让人唏嘘的，年龄差让他们相处舒适，却又导致他们需求不同，最终的最终还是分开，但他们的相爱和短暂的复合，都是美好的情感，遗憾但不后悔就够了。p.s.钱德勒是一季比一季可爱。,讨厌,3,neutral,剧情
最爱Monica和Richard复合那集??,复合,3,positive,剧情
越看越喜欢，越看越开心啊~~,开心,3,positive,情怀
欢乐继续，但且容我看完这一季休息一下会儿。,但且,3,positive,剧情
这一季的重点就是瑞秋和罗斯的分分合合，其他人的笑点也不错，莫妮卡的爱情怎么都是老男人。,秋罗斯,3,positive,剧情
Mon和Chandler要在一起啦！！！,mon,4,positive,剧情
看过一点,一点,4,neutral,剧情
最喜欢钱德了,钱德,4,positive,演员
五一追剧。这结局真揪心！为啥没有第11集！,为啥,4,positive,剧情
