comment,decision_type,final_label_after_llm,final_negative,final_neutral,final_positive,keyword,llm_label,llm_reason,season,sentiment_association,star_negative,star_neutral,star_positive,star_top_label,star_top_score,topic_category,tri_negative,tri_neutral,tri_positive,tri_top_label,tri_top_score
嫁人就嫁錢德勒,weighted_merge,positive,0.2284485135562283,0.3654556272989246,0.40609585914484714,人德勒,"","",5,positive,0.21753427930074098,0.27688393959748925,0.5055817811017698,positive,0.5055817811017698,情怀,0.24481986493945926,0.49831315885107763,0.2568669762094631,neutral,0.49831315885107763
真温馨啊。。。最近的日子也就这么过去了。,weighted_merge,neutral,0.23311120506258498,0.3864656531641752,0.3804231417732399,日子,"","",5,neutral,0.16163793054341494,0.30920453135713055,0.5291575380994545,positive,0.5291575380994545,情怀,0.34032111684134003,0.5023573358747422,0.15732154728391787,neutral,0.5023573358747422
这季Monica和Chandler谈恋爱“逐步”公之于众的桥段太好笑了??（你们为什么要欺负Joey小天使！）另一个笑点是Ross三度离婚，是谁想出来背后写“Just Married”的天才创意??,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,ross,"","",5,positive,0.14541921095413884,0.2719466510194465,0.5826341380264146,positive,0.5826341380264146,演员,0.36413244948253376,0.29057009211216883,0.34529745840529735,negative,0.36413244948253376
钱莫恋笑出腹肌 有点心疼乔伊 后期喜欢菲比,weighted_merge,positive,0.40130770038917274,0.3660891286628618,0.23260317094796543,心疼,positive,评论整体表达了对剧情的喜爱和角色的正面情感,5,negative,0.35840943244709716,0.4414396023964823,0.20015096515642053,neutral,0.4414396023964823,演员,0.4656551023022861,0.25306341806243116,0.28128147963528277,negative,0.4656551023022861
不知不覺已經第五季了,weighted_merge,neutral,0.3301532970699401,0.40262750129842534,0.26721920163163454,不知,"","",5,neutral,0.39135356526122017,0.4081065015816651,0.20053993315711466,neutral,0.4081065015816651,情怀,0.23835289478302002,0.3944090008735657,0.3672381043434143,neutral,0.3944090008735657
Chandler真是太棒了 好男人,weighted_merge,positive,0.08906393591766869,0.2078411423774775,0.7030949217048538,男人,"","",5,positive,0.12237672673446481,0.30972235806079473,0.5679009152047404,positive,0.5679009152047404,演员,0.03909474969247449,0.055019318852501664,0.9058859314550238,positive,0.9058859314550238
第五季里感觉罗斯的发型太那啥了，另外，《杀死比尔》的背景乐居然有。。,weighted_merge,neutral,0.2592188798320726,0.4851739877500889,0.25560713241783856,罗斯,"","",5,neutral,0.20987809415407116,0.5998008973814916,0.1903210084644373,neutral,0.5998008973814916,演员,0.33323005834907465,0.31323362330298493,0.3535363183479404,positive,0.3535363183479404
It's four...Chan这句真的感动我了……似乎哪对恋爱哪对就是主角……你们幸福的羡煞旁人……Phoebe善良得像个女神……,weighted_merge,positive,0.1687223467103487,0.22358871531057564,0.6076889379790757,phoebe,"","",5,positive,0.12962497442730223,0.2578102460848408,0.6125647794878569,positive,0.6412636847109787,情怀,0.261112874476988,0.2169741622112929,0.521912963311719,positive,0.5573268178812213
这季中间有两三集笑得我捶地,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,集笑,"","",5,positive,0.49707301467292836,0.3738373392586512,0.12908964606842044,negative,0.49707301467292836,剧情,0.32933436842756364,0.2604829889391962,0.41018264263324017,positive,0.41018264263324017
莫钱好甜～,weighted_merge,positive,0.09446755542117233,0.2131198670692414,0.6924125775095863,莫钱,"","",5,positive,0.08788836850142755,0.22049650080871955,0.6916151306898529,positive,0.6916151306898529,演员,0.10433633580078946,0.2020549164600242,0.6936087477391863,positive,0.6936087477391863
