comment,decision_type,final_label_after_llm,final_negative,final_neutral,final_positive,keyword,llm_label,llm_reason,season,sentiment_association,star_negative,star_neutral,star_positive,star_top_label,star_top_score,tri_negative,tri_neutral,tri_positive,tri_top_label,tri_top_score
就剩一季了。强迫症。,weighted_merge,neutral,0.44931188738855904,0.3508422896849286,0.19984582292651237,强迫症,neutral,评论仅陈述事实和轻微个人感受，无明显褒贬倾向。,9,negative,0.46245053489347643,0.3376425465365258,0.19990691856999776,negative,0.46245053489347643,0.4296039161311829,0.37064190440753275,0.19975417946128435,negative,0.4296039161311829
看的真快。乔伊被设定的越来越简单，钱德勒婚后不好玩了。依然喜欢ross，越发觉得莫妮卡不错。,weighted_merge,neutral,0.31782274192206517,0.3600863958496684,0.3220908622282665,简单,"","",9,neutral,0.3254730519632892,0.48049834974206573,0.19402859829464514,neutral,0.44490587939080156,0.36991182524464206,0.2514857441810061,0.3786024305743517,positive,0.4246318801614369
有点拖拉的一季，钱德勒和莫妮卡检查的时候我觉得好可怜，特别是结果出来的时候！一直认为麦克就是菲比的归属了！哪怕最终结局会安排罗斯和瑞秋在一起，我也希望乔伊曾经拥有过！一直不喜欢黑人！爱情公寓，你还要抄多少季？,llm_override_pos_neg_conflict,negative,1.0,0.0,0.0,罗斯,negative,评论明确表达了对剧情拖拉、角色命运的不满，并直接批评了抄袭行为,9,negative,0.20443631973830487,0.3889278453525513,0.40663583490914385,positive,0.40663583490914385,0.5849428597952757,0.2568469213163504,0.15821021888837394,negative,0.5849428597952757
真的只剩下一季了...,weighted_merge,negative,0.48054453049859397,0.33075018052866983,0.18870528897273617,剩下,negative,评论表达了明显的遗憾和失落情绪，暗示对剧集即将完结的不满。,9,negative,0.4280433441990116,0.32821007775947336,0.24374657804151506,negative,0.4280433441990116,0.5592963099479675,0.3345603346824646,0.10614335536956787,negative,0.5592963099479675
好喜欢RJ在一起~~让RR随风飘逝吧~~,weighted_merge,positive,0.050258626128543954,0.2083145831540032,0.7414267907174528,rjrr,"","",9,positive,0.027888778329210023,0.19024547746444712,0.7818657442063428,positive,0.7818657442063428,0.08381339782754484,0.2354182416883373,0.6807683604841178,positive,0.6807683604841178
罗斯和瑞秋是该剧设定的主角，其恋情也是整个系列的线索，但这两个人的性格和爱情故事却极其让人厌恶。另外，疯疯癫癫的菲比也很讨厌。,llm_override_large_gap_conflict,negative,1.0,0.0,0.0,设定,negative,评论明确表达了对主要角色性格和爱情故事的厌恶，整体情绪倾向为批评和否定。,9,negative,0.35444553839457105,0.49409799962803896,0.15145646197739004,neutral,0.49409799962803896,0.7692243801681831,0.16324197319669612,0.06753364663512083,negative,0.7692243801681831
舍不得看完啊,weighted_merge,positive,0.6287828002844112,0.26544322136793375,0.10577397834765498,舍不得,positive,表达了对作品的喜爱和不舍之情,9,negative,0.6011618830220331,0.31664960191901925,0.08218851505894767,negative,0.6011618830220331,0.6702141761779785,0.18863365054130554,0.14115217328071594,negative,0.6702141761779785
三角什么的不喜欢,weighted_merge,negative,0.5030985994987262,0.3896432839501024,0.10725811655117141,喜欢,negative,明确表达对特定情节或设定的不喜欢,9,negative,0.38076946494670316,0.5034024014055013,0.1158281336477955,neutral,0.5034024014055013,0.6865923013267606,0.219004607767004,0.0944030909062353,negative,0.6865923013267606
大家喜欢浪子是因为总以为浪子会回头，在非现实世界里这种烂俗梗早被玩儿坏了。但是看到第九季，看到joey这个游戏人间的玩咖忽然间也触碰到了真爱，还是难免被打动。就暂缓揣摩剧作法，泡杯咖啡，开开心心迎接十年老朋友们的结局吧,weighted_merge,neutral,0.32735877222057164,0.3467316562264927,0.32590957155293565,回头,"","",9,neutral,0.26066251347967856,0.3872861950479676,0.3520512914723538,neutral,0.3872861950479676,0.42740316033191117,0.2858998479942804,0.28669699167380835,negative,0.42740316033191117
joey和rachel的组合真的有点扯啊,weighted_merge,negative,0.5013745630581309,0.2842566395631532,0.2143687973787159,组合,negative,评论明确表达对剧情设定的不满和批评,9,negative,0.38535580166214406,0.32024415016538127,0.2944000481724746,negative,0.38535580166214406,0.6754027051521111,0.2302753736598111,0.09432192118807783,negative,0.6754027051521111
